iter	Passed	Remaining
0	1	114
1	2	109
2	3	112
3	4	105
4	5	103
5	6	98
6	7	95
7	8	92
8	8	89
9	9	87
10	10	85
11	11	83
12	12	80
13	12	78
14	13	77
15	14	75
16	15	74
17	16	73
18	17	73
19	18	72
20	19	71
21	20	71
22	21	70
23	21	69
24	22	68
25	23	66
26	24	65
27	24	63
28	25	63
29	26	62
30	27	61
31	28	60
32	29	59
33	29	58
34	30	57
35	31	56
36	32	55
37	33	55
38	34	54
39	35	53
40	36	52
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	45	40
53	47	40
54	47	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	32
62	54	32
63	55	31
64	56	30
65	57	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	66	20
76	66	19
77	67	19
78	68	18
79	69	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	76	10
88	77	9
89	78	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	84	2
97	84	1
98	85	0
99	86	0
