iter	Passed	Remaining
0	152	152563
1	154	76961
2	155	51610
3	156	38893
4	157	31331
5	158	26308
6	160	22740
7	161	20042
8	162	17903
9	163	16204
10	164	14828
11	166	13674
12	167	12695
13	168	11846
14	169	11118
15	170	10500
16	172	9960
17	173	9458
18	174	9009
19	175	8618
20	177	8294
21	179	7981
22	180	7673
23	181	7388
24	182	7129
25	183	6890
26	184	6666
27	186	6472
28	187	6293
29	190	6146
30	191	5985
31	192	5835
32	194	5702
33	196	5569
34	197	5443
35	198	5315
36	199	5195
37	201	5094
38	202	4991
39	203	4895
40	205	4803
41	206	4710
42	207	4623
43	208	4538
44	210	4457
45	211	4376
46	212	4308
47	213	4232
48	214	4169
49	215	4103
50	217	4052
51	219	4000
52	220	3939
53	221	3880
54	222	3823
55	223	3768
56	224	3716
57	225	3666
58	227	3620
59	228	3576
60	229	3531
61	230	3492
62	232	3452
63	233	3414
64	234	3373
65	235	3333
66	236	3293
67	237	3254
68	238	3214
69	239	3177
70	240	3142
71	241	3107
72	242	3075
73	243	3043
74	244	3016
75	245	2985
76	246	2958
77	248	2932
78	249	2904
79	250	2876
80	251	2847
81	251	2820
82	252	2789
83	253	2762
84	254	2738
85	255	2715
86	256	2693
87	257	2670
88	258	2650
89	260	2629
90	261	2609
91	262	2590
92	263	2571
93	264	2551
94	265	2530
95	266	2512
96	267	2493
97	268	2475
98	269	2456
99	270	2436
100	271	2418
101	272	2402
102	273	2385
103	275	2369
104	276	2354
105	277	2338
106	278	2323
107	279	2308
108	281	2297
109	282	2287
110	284	2276
111	285	2260
112	286	2246
113	287	2233
114	288	2221
115	289	2208
116	290	2196
117	292	2184
118	293	2171
119	294	2160
120	295	2148
121	296	2133
122	297	2120
123	298	2110
124	299	2098
125	300	2086
126	301	2074
127	303	2065
128	305	2060
129	306	2051
130	308	2043
131	309	2034
132	310	2026
133	312	2018
134	313	2009
135	315	2002
136	316	1994
137	317	1986
138	319	1979
139	321	1972
140	322	1964
141	323	1955
142	325	1949
143	326	1943
144	328	1936
145	329	1927
146	330	1918
147	332	1911
148	333	1905
149	335	1899
150	336	1894
151	338	1886
152	339	1879
153	340	1871
154	341	1863
155	343	1856
156	344	1849
157	345	1843
158	347	1837
159	348	1830
160	349	1821
161	351	1818
162	352	1811
163	354	1804
164	355	1799
165	357	1794
166	358	1786
167	359	1779
168	360	1772
169	362	1769
170	363	1763
171	365	1758
172	366	1753
173	367	1746
174	368	1739
175	370	1733
176	371	1727
177	372	1721
178	373	1714
179	375	1708
180	376	1704
181	378	1701
182	381	1701
183	382	1698
184	384	1694
185	385	1688
186	387	1684
187	388	1679
188	390	1673
189	391	1669
190	393	1666
191	394	1661
192	396	1656
193	397	1649
194	398	1643
195	399	1637
196	400	1632
197	401	1626
198	402	1621
199	403	1615
200	405	1610
201	406	1605
202	407	1601
203	409	1598
204	410	1593
205	412	1588
206	412	1582
207	414	1577
208	415	1571
209	416	1566
210	417	1560
211	418	1555
212	419	1549
213	420	1545
214	422	1541
215	423	1536
216	424	1533
217	426	1530
218	427	1524
219	429	1521
220	430	1516
221	431	1512
222	432	1508
223	434	1503
224	435	1499
225	437	1497
226	439	1496
227	441	1494
228	442	1490
229	444	1486
230	445	1482
231	446	1478
232	447	1473
233	448	1469
234	450	1466
235	451	1461
236	453	1458
237	454	1454
238	455	1450
239	456	1445
240	457	1440
241	458	1436
242	460	1433
243	461	1428
244	462	1424
245	462	1418
246	463	1414
247	465	1410
248	466	1407
249	468	1404
250	469	1400
251	470	1397
252	471	1392
253	472	1388
254	474	1385
255	475	1380
256	476	1376
257	477	1372
258	478	1368
259	479	1364
260	480	1361
261	481	1357
262	483	1354
263	484	1350
264	485	1346
265	486	1342
266	487	1339
267	488	1335
268	490	1331
269	491	1328
270	492	1324
271	493	1321
272	494	1317
273	496	1314
274	497	1311
275	498	1307
276	499	1304
277	500	1301
278	502	1297
279	502	1293
280	503	1289
281	504	1285
282	505	1281
283	507	1278
284	508	1274
285	509	1271
286	510	1268
287	512	1267
288	513	1263
